date,total_cases,new_cases,total_deaths
2019-12-31,0,0,0
2020-01-01,0,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,0
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,0
2020-01-14,0,0,0
2020-01-15,0,0,0
2020-01-16,0,0,0
2020-01-17,0,0,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,0,0
2020-01-21,0,0,0
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,1,1,0
2020-01-31,1,0,0
2020-02-01,1,0,0
2020-02-02,2,1,0
2020-02-03,2,0,0
2020-02-04,3,1,0
2020-02-05,3,0,0
2020-02-06,3,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,3,0,0
2020-02-10,3,0,0
2020-02-11,3,0,0
2020-02-12,3,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,3,0,0
2020-02-16,3,0,0
2020-02-17,3,0,0
2020-02-18,3,0,0
2020-02-19,3,0,0
2020-02-20,3,0,0
2020-02-21,3,0,0
2020-02-22,3,0,0
2020-02-23,3,0,0
2020-02-24,3,0,0
2020-02-25,3,0,0
2020-02-26,3,0,0
2020-02-27,3,0,0
2020-02-28,3,0,0
2020-02-29,3,0,0
2020-03-01,3,0,0
2020-03-02,3,0,0
2020-03-03,5,2,0
2020-03-04,6,1,0
2020-03-05,28,22,0
2020-03-06,29,1,0
2020-03-07,31,2,0
2020-03-08,34,3,0
2020-03-10,44,10,0
2020-03-11,50,6,0
2020-03-12,73,23,0
2020-03-13,75,2,1
2020-03-14,83,8,2
2020-03-15,90,7,2
2020-03-16,93,3,2
2020-03-17,125,32,3
2020-03-18,137,12,3
2020-03-19,165,28,3
2020-03-20,191,26,4
2020-03-21,231,40,4
2020-03-22,320,89,4
2020-03-23,439,119,7
2020-03-24,492,53,9
2020-03-25,562,70,9
2020-03-26,649,87,13
2020-03-27,724,75,17
2020-03-28,873,149,19
2020-03-29,979,106,25
2020-03-30,1071,92,29
2020-03-31,1251,180,32
2020-04-01,1397,146,35
2020-04-02,1965,568,50
2020-04-03,2301,336,56
2020-04-04,2902,601,68
2020-04-05,3374,472,77
2020-04-06,4067,693,109
2020-04-07,4421,354,114
2020-04-08,5194,773,149
2020-04-09,5734,540,166
2020-04-10,6412,678,199
2020-04-11,7447,1035,239
2020-04-12,8356,909,273
2020-04-13,9152,796,308
2020-04-14,10363,1211,339
2020-04-15,11438,1075,377
2020-04-16,12380,942,414
2020-04-17,13387,1007,437
2020-04-18,14378,991,480
2020-04-19,15712,1334,507
2020-04-20,17265,1553,543
2020-04-21,18600,1335,590
2020-04-22,19984,1384,640
2020-04-23,21393,1409,681
2020-04-24,23077,1684,718
2020-04-25,24506,1429,775
2020-04-26,26496,1990,824
2020-04-27,27892,1396,872
2020-04-28,29435,1543,934
2020-04-29,31332,1897,1007
2020-04-30,33050,1718,1074
2020-05-01,35043,1993,1147
2020-05-02,37336,2293,1218
2020-05-03,39980,2644,1301
2020-05-04,42533,2553,1373
2020-05-05,46433,3900,1568
2020-05-06,49391,2958,1694
2020-05-07,52952,3561,1783
2020-05-08,56342,3390,1886
2020-05-09,59662,3320,1981
2020-05-10,62939,3277,2109
2020-05-11,67152,4213,2206
2020-05-12,70756,3604,2293
2020-05-13,74281,3525,2415
2020-05-14,78003,3722,2549
2020-05-15,81970,3967,2649
2020-05-16,85940,3970,2752
2020-05-17,90927,4987,2872
2020-05-18,96169,5242,3029
2020-05-19,101139,4970,3163
2020-05-20,106750,5611,3303
2020-05-21,112359,5609,3435
2020-05-22,118447,6088,3583
2020-05-23,125101,6654,3720
2020-05-24,131868,6767,3867
2020-05-25,138845,6977,4021
2020-05-26,145380,6535,4167
2020-05-27,151767,6387,4337
2020-05-28,158333,6566,4531
2020-05-29,165799,7466,4706
2020-05-30,173763,7964,4971
2020-05-31,182143,8380,5164
2020-06-01,190535,8392,5394
2020-06-02,198706,8171,5598
2020-06-03,207615,8909,5815
2020-06-04,216919,9304,6075
2020-06-05,226770,9851,6348
2020-06-06,236657,9887,6642
2020-06-07,246628,9971,6929
